Item,Price,Company,Heat,Date
"AmazonBasics AAA High-Capacity Rechargeable Batteries, (8-Pack) Pre-charged (Appearance may vary) £6.57 @ Amazon Prime",7.0,Amazon,115.0,2020-10-13 11:13:36.313820
"eufy Security eufyCam 2 Wireless Home Security Add-on Camera, Requires HomeBase, HD 1080 £84.99 Sold by AnkerDirect & FB Amazon Prime",85.0,Amazon,116.0,2020-10-13 11:13:36.313820
"HISENSE 55-inch 4K UHD HDR Smart TV with Freeview play, and Alexa Built-in (2020 series) - Prime Day Deal - £378 delivered @ Amazon",378.0,Amazon,136.0,2020-10-13 11:13:36.314818
HONOR MagicBook 14 Or 15 (+ Free Gift) 8GB+ 512GB Space Gray / 65W / DDR4 / 4500U - £599.99 @ Honor UK,600.0,Honor,166.0,2020-10-13 11:13:36.314818
"Echo Show 5 Black / White + Blink Mini 1080p Indoor Camera, Works with Alexa - £49.99 @ Amazon",50.0,Amazon,133.0,2020-10-13 11:13:36.314818
YI Smart Security Camera TWIN PACK- 1080p Wifi Home Indoor Camera £34.19 - Sold by Seeverything UK and Fulfilled by Amazon Prime,34.0,Amazon,147.0,2020-10-13 11:13:36.314818
EBL Charger with 8 batteries (4 x AAA & 4 x AA) £12.99 Sold by EBL Official and Fulfilled by Amazon Prime Exclusive,13.0,Amazon,132.0,2020-10-13 11:13:36.314818
LIKE NEW Apple iPhone SE (64GB) - White - Unlocked - £320.66 via Amazon Warehouse (Prime Exclusive),321.0,Amazon,137.0,2020-10-13 11:13:36.314818
"Samsung 75"" TU7000 HDR Smart 4K TV £622.30 at Amazon",622.0,Amazon,149.0,2020-10-13 11:13:36.314818
"Crucial P5 1TB CT1000P5SSD8 Internal SSD (3D NAND, NVMe, PCIe, M.2, 2280SS) 3400/3000 MB/s R/W - £109.99 Prime @ Amazon",108.0,Amazon,156.0,2020-10-13 11:13:36.315815
"Dell SE2416H 24"" FHD IPS LCD Monitor Black - £79.99 @ Amazon (Prime only)",80.0,Amazon,153.0,2020-10-13 11:13:36.315815
AUKEY Upgraded True Wireless Earphones Only £19.59 Sold by AUKEY Innovate EU and Fulfilled by Amazon Prime,20.0,Amazon,145.0,2020-10-13 11:13:36.315815
